JobId, User, Release, TagSet, Status, DataSet, Dir
518 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_600_450/Summer12-PU35_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_12_15_29_41
518 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2tt_2j_600_100/Summer12-PU35_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_12_15_29_41
520 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_300_150/Summer12-PU35_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_13_11_45_32
520 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_300_150/Summer12-PU50_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_13_11_45_32
520 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_300_150/Summer12-PU50bx25_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_13_11_45_32
520 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_600_150/Summer12-PU35_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_13_11_45_32
520 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_600_150/Summer12-PU50_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_13_11_45_32
520 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_600_150/Summer12-PU50bx25_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_13_11_45_32
520 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_600_450/Summer12-PU35_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_13_11_45_32
520 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_600_450/Summer12-PU50_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_13_11_45_32
520 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_600_450/Summer12-PU50bx25_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_13_11_45_32
520 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2tt_2j_300_100/Summer12-PU50_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_13_11_45_32
520 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2tt_2j_300_100/Summer12-PU50bx25_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_13_11_45_32
520 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2tt_2j_600_100/Summer12-PU50_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_13_11_45_32
520 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2tt_2j_600_100/Summer12-PU50bx25_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_13_11_45_32
521 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T1T1_2BC_350_100_MadGraph/Summer12-PU35_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_13_19_39_21
521 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T1T1_2BC_350_100_MadGraph/Summer12-PU50_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_13_19_39_21
521 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T1T1_2BC_350_100_MadGraph/Summer12-PU50bx25_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_13_19_39_21
522 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T1T1_2BC_350_100_MadGraph/Summer12-PU50_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_16_13_53_11
522 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T1T1_2BC_350_100_MadGraph/Summer12-PU50bx25_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_16_13_53_11
522 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_300_150/Summer12-PU50_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_16_13_53_11
522 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_300_150/Summer12-PU50bx25_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_16_13_53_11
